date;timestamp;wei
09/07/2020;1599436800;1,12638E+11
09/08/2020;1599523200;1,03775E+11
09/09/2020;1599609600;1,2049E+11
09/10/2020;1599696000;1,79315E+11
09/11/2020;1599782400;1,4723E+11
09/12/2020;1599868800;1,07403E+11
9/13/2020;1599955200;1,20533E+11
9/14/2020;1600041600;1,995E+11
9/15/2020;1600128000;1,86693E+11
9/16/2020;1600214400;1,52924E+11
9/17/2020;1600300800;5,38007E+11
9/18/2020;1600387200;3,18643E+11
9/19/2020;1600473600;1,7432E+11
9/20/2020;1600560000;1,3289E+11
9/21/2020;1600646400;1,76908E+11
9/22/2020;1600732800;1,59389E+11
9/23/2020;1600819200;1,28841E+11
9/24/2020;1600905600;1,09209E+11
9/25/2020;1600992000;1,02667E+11
9/26/2020;1601078400;83509486824
9/27/2020;1601164800;86032333679
9/28/2020;1601251200;1,21962E+11
9/29/2020;1601337600;1,53891E+11
9/30/2020;1601424000;1,19863E+11
10/01/2020;1601510400;1,00692E+11
10/02/2020;1601596800;93806763969
10/03/2020;1601683200;79724495395
10/04/2020;1601769600;83002261988
10/05/2020;1601856000;90700178586
10/06/2020;1601942400;1,09233E+11
10/07/2020;1602028800;85972225652
10/08/2020;1602115200;87114899986
10/09/2020;1602201600;80387358281
10/10/2020;1602288000;64197264627
10/11/2020;1602374400;49653860265
10/12/2020;1602460800;76063541206
10/13/2020;1602547200;75080099063
10/14/2020;1602633600;75643030426
10/15/2020;1602720000;74178882628
10/16/2020;1602806400;63068023041
10/17/2020;1602892800;36291623945
10/18/2020;1602979200;40183042347
10/19/2020;1603065600;56873119620
10/20/2020;1603152000;61935567910
10/21/2020;1603238400;74178258309
10/22/2020;1603324800;63311659678
10/23/2020;1603411200;58483044067
10/24/2020;1603497600;32203857762
10/25/2020;1603584000;33050174347
10/26/2020;1603670400;55960128939
10/27/2020;1603756800;43438225272
10/28/2020;1603843200;64546938423
10/29/2020;1603929600;68638448298
10/30/2020;1604016000;63336696249
10/31/2020;1604102400;40821601761
11/01/2020;1604188800;33958389367
11/02/2020;1604275200;59556293025
11/03/2020;1604361600;44994623512
11/04/2020;1604448000;36929765158
11/05/2020;1604534400;50351219255
11/06/2020;1604620800;59743475915
11/07/2020;1604707200;55699556300
11/08/2020;1604793600;29270287574
11/09/2020;1604880000;43036804081
11/10/2020;1604966400;50067322104
11/11/2020;1605052800;52469222811
11/12/2020;1605139200;58433082358
11/13/2020;1605225600;54834222262
11/14/2020;1605312000;34540619732
11/15/2020;1605398400;34544174003
11/16/2020;1605484800;47985935398
11/17/2020;1605571200;74866465876
11/18/2020;1605657600;80394403719
11/19/2020;1605744000;46783318521
11/20/2020;1605830400;68357121233
11/21/2020;1605916800;66371016498
11/22/2020;1606003200;62695231579
11/23/2020;1606089600;76578870525
11/24/2020;1606176000;93649625593
11/25/2020;1606262400;61060602390
11/26/2020;1606348800;1,42518E+11
11/27/2020;1606435200;45168615208
11/28/2020;1606521600;34986023055
11/29/2020;1606608000;30780782615
11/30/2020;1606694400;78983988030
12/01/2020;1606780800;87210450983
12/02/2020;1606867200;44017238565
12/03/2020;1606953600;47047850997
12/04/2020;1607040000;54133415152
12/05/2020;1607126400;37247774997
12/06/2020;1607212800;36457991314
12/07/2020;1607299200;50119786947
12/08/2020;1607385600;64453892343
12/09/2020;1607472000;65315353811
12/10/2020;1607558400;56230297216
12/11/2020;1607644800;63672809905
12/12/2020;1607731200;42794623984
